Protein.IDs	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000033178	21.42603538360593	20.82322105725815	21.149357640079668	21.65896629250418	20.548867052165022	20.623906488968302	20.552905455137736	20.617194810575086	22.30802566433534	21.910532943289088	22.275203793607073	22.057153551457695	21.736737183125516	21.8150329874265	22.23093046697573	22.372467628436297
ENSG00000188739	19.561526624136487	20.62524508589193	21.27985765261329	18.536588722386583	20.629253440697152	18.39464690514516	18.493574036234413	19.63152878913062	17.857021178778737	17.91765178898899	18.3795814348513	19.184032672642214	17.86864172437836	18.58772625005994	15.958824554462225	18.373986629514267
ENSG00000164828	19.93847693866635	21.39021304869985	20.966981337501593	21.197365494083925	20.746734083411752	20.93531470855707	20.306969498230533	20.48305997787167	20.4609397745781	20.709188170396306	20.0038802093466	20.42131700244451	20.565232266190804	20.04540239828345	20.342343828332417	19.07208548797982
ENSG00000125107	18.356770035108582	17.81977993183848	18.42193331931008	18.24474475206341	18.687737897463474	17.497243726586536	18.004099739158853	NA	19.946209516205926	18.363501695183437	18.265541796501406	19.551742051862902	17.179714748391298	16.849527275232532	17.15916179522645	18.000638258394186
ENSG00000159593	21.107955176616134	20.540188593684668	21.081348199900077	20.71481566670229	20.508816104917326	NA	20.1357092861044	19.341214755038283	21.600504596443205	20.921143589905082	21.434255599484874	20.49414071473075	19.929504038924403	19.767201650528	19.785021357739097	19.845459422752395
ENSG00000107819	21.852738273981938	21.975472963619794	21.40056886528282	21.230813227120247	21.816752435644524	21.821314660071142	21.731401904049235	22.081445728718155	21.599097421116742	21.4954100482045	20.95794372339065	21.256494353379495	21.53516524418438	21.02695293221439	21.625557246543696	20.66388119014482
ENSG00000184207	21.292719300624775	20.670984662725203	20.950985830277734	21.450556839768243	20.888814582925857	20.764256085763705	20.312630397748762	NA	22.298967593908003	21.636661789059065	22.38755985192643	22.238326595581565	22.26484917144144	21.78240798898536	22.032882470410474	22.337996393851157
ENSG00000205765	21.517492546282774	21.128238556855703	20.857112328022666	21.27161804217734	20.02837015117334	20.857036370719314	20.88166366349786	20.251070898328482	22.359416064958218	21.683846174499408	21.92234194723261	21.019710166193192	20.687396188546458	20.303629151656335	21.066906425855993	21.01943870226523
ENSG00000165609	24.1674487733735	23.76324317057719	23.986503848464213	23.98563559191364	23.48787535354915	23.636108587226722	23.586347786283692	22.958085372388396	24.59291913855817	24.223393111507868	24.269208309784954	24.18010340546285	24.09699818974836	24.001614357497104	24.069645778160556	24.236809535278656
ENSG00000132471	18.57817364657423	16.55857018901306	17.318578114063257	17.00140819439281	17.376532412848036	17.00766242461801	17.12827632159961	NA	17.68749870972004	16.628844208409905	17.690093485672907	17.824759898954106	17.070330623285546	17.010834025500074	18.209339127440547	18.133854632112623
ENSG00000143153	21.757354196788967	21.755236419135468	21.85494597617972	21.638607373741067	21.816010198025715	19.931005808512733	21.575701729958396	22.19790536874431	21.901465016620506	22.165487298709895	21.674092246136517	21.90899504487652	21.63214145316918	20.86619829302384	21.165947258661788	21.578007754938504
ENSG00000165169	20.607835977590064	20.804042766375385	20.655782256081533	20.989746504115725	20.6150404621794	20.920053309700368	21.1796783064222	19.396215927552323	20.736613330694578	20.546796512903	20.308636775708234	20.112861982209647	20.104823952345146	19.837935852631496	20.23584595738985	20.059729970238664
ENSG00000159111	20.552436453787458	20.23759743877638	20.772736612872823	19.09450041719569	20.455531915114843	20.455230883284667	19.598997504882945	20.502808500525664	20.247250720662098	20.226703818324992	20.68465959962228	20.810490049074026	20.37156396724741	19.93171283161527	20.457737564668818	19.684676719433373
ENSG00000206053	22.20874994316719	22.48689392831342	22.57938960272547	22.76995564910238	22.157460431014513	22.068088101874736	21.995451118273987	20.83352634237848	22.129591176941446	21.93337081195816	22.456309290072035	22.2059495182627	21.919398745861447	21.63032045710885	21.674307802180024	21.95705810192118
ENSG00000214026	20.556277771553585	20.022151045686616	19.915902714164663	19.721940266315723	20.019574440614193	19.28665251116072	19.660768915889534	19.349272588657424	19.77752823515218	19.797139036848996	20.0810880908142	19.950202743463226	19.162632269236447	17.986653135937008	19.500767981858594	18.685617996325178
ENSG00000174851	16.564789579626673	17.9801953738622	18.029449003376087	18.81428204004723	17.355006901017983	19.094835421270314	17.992971518478047	18.165113089779982	19.10190387900371	18.419466470534264	17.426117306040915	18.648357582009666	19.774555443989264	19.890982642745012	20.004840405748695	19.424887980797486
ENSG00000101596	20.21466062749922	20.74106533332506	21.207767434356416	20.555154541723887	20.387007583887225	19.62487040393089	19.897718444291776	19.41224730807897	20.392258718172908	20.354555019890892	20.410178037728684	20.409349497840363	20.066972099921827	20.50086521488582	20.89496870704089	19.23937010682647
ENSG00000087460	19.782127989946947	20.095968704348586	20.118322653907356	20.001820491144617	19.6027351058972	19.658452088552075	19.96056198120372	20.06789122307339	20.55149799344025	20.461739217718815	20.09699818974836	20.747307931490813	20.735126271596187	19.6408062611388	20.815111188637502	20.147060799315156
ENSG00000134183	19.782127989946947	20.095968704348586	20.118322653907356	20.001820491144617	19.6027351058972	19.658452088552075	19.96056198120372	20.06789122307339	20.55149799344025	20.461739217718815	20.09699818974836	20.747307931490813	20.735126271596187	19.6408062611388	20.815111188637502	20.147060799315156
ENSG00000002586	20.143079232207715	20.11806912696867	19.974633047989112	18.907712209370807	18.417943141867614	19.682535167057722	20.43918563612848	20.67184855199706	18.265358655270962	17.536399006423277	20.58398622625617	19.020198672579394	20.193039208336955	19.705969804637526	19.822318750547712	19.972531117102672
ENSG00000101557	23.128852111490396	23.278667239946444	23.543685121549057	23.303406186654595	23.236444619369063	23.317275693982108	22.60136638082085	21.696806259657208	23.584857931479835	23.208095011644666	23.319482493710122	23.369462095798344	23.182999851535733	22.878299429464484	23.1717912960647	23.107157040391076
ENSG00000173145	21.60792625605703	20.5546862710713	21.84640094236299	20.294234825172428	21.289964831280827	19.432513355465836	19.110901262164337	20.360889939265615	20.62506667804642	21.24667102240184	20.742628517064254	21.610001103120325	20.5451002222421	19.32069479624888	19.695778823024717	19.466466851622894
