R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3	R0	R1	R2	R3	R4	R5	R6	signedCPS1	signedCPS2	signedCPS3	signedCPS4	signedCPS5	signedCPS6	FDR1	FDR2	FDR3	FDR4	FDR5	FDR6
ENSG00000001084	10.517	10.5322	10.5485	10.5859	11.04	11.5127	11.8368	12.0594	10.6562	10.6867	10.7169	10.7768	12.5338	12.2479	12.0239	11.865	18.3113	17.9689	18.7508	18.8623	18.2827	18.5454	19.5929	18.4401	18.3645	18.3522	18.2328	17.5553	19.4214	17.6689	17.8459	18.938	0.610762315	0.660374999	0.66438083	0.717765901	0.3118513994	0.391625377	0.389729055	0.393	0.357	0.419	-0.928	0.453	-0.285	0.414941257143	0.456374656153	0.38588313413	0.035645320197	0.347273167582	0.523198742623
ENSG00000001497	13.0583	13.036	13.0137	12.9695	13.013	12.9587	13.0014	13.0239	13.1402	13.0424	12.9445	12.7485	12.7728	12.8962	12.9798	13.0375	19.3707	20.2989	20.1212	19.2112	19.3599	19.2144	20.855	19.0961	20.134	20.3193	19.86	20.2891	19.7022	19.99	20.5162	19.9895	0.643238035	0.520605968	0.483577656	0.493762491	0.621799835	0.765419059	0.418125197	-0.494	-0.318	0.29	0.463	0.532	-0.765	0.306872727273	0.494726051925	0.519117577664	0.33627465029	0.273366150961	0.123717980296
ENSG00000002549	10.464	10.4187	10.3743	10.2898	9.82538	10.1561	10.3496	10.4809	10.4214	10.415	10.4084	10.3958	9.63555	10.1152	10.3765	10.6034	23.0695	22.8073	23.1119	23.0757	22.4196	22.6963	22.7029	21.9735	23.1542	22.5858	23.2157	22.9964	22.818	22.6013	22.9339	22.9763	0.458249811	0.562698622	0.50132255	0.483999953	0.518886763	0.526088336	0.443227854	0.422	-0.313	-0.195	0.255	0.211	-0.448	0.382117790414	0.499596016863	0.588289285382	0.546146750285	0.578018917601	0.352416614223
ENSG00000002586	9.95294	9.92543	9.89747	9.84214	9.41843	9.88243	10.103	10.2617	10.105	9.94794	9.79045	9.47128	10.001	10.0956	10.0508	10.005	20.1431	20.1181	19.9746	18.9077	18.4179	19.6825	20.4392	20.6718	18.2654	17.5364	20.584	19.0202	20.193	19.706	19.8223	19.9725	0.2836991542	0.620072338	0.3457933461	0.478861298	0.584712293	0.647757844	0.65329956	0.736	-0.616	0.493	0.486	0.407	0.334	0.140779787234	0.213284690554	0.307578574242	0.314138338415	0.398339063279	0.479383182113
ENSG00000002834	11.363	11.503	11.6428	11.924	11.1961	11.1712	11.2381	11.2937	11.8391	11.6256	11.4118	10.9837	11.0938	11.0119	11.0028	11.0055	26.0385	25.2515	25.5866	25.4079	25.524	25.5289	25.6592	24.5333	25.2885	25.0015	25.5248	25.208	25.3547	25.0629	24.568	25.0552	0.364595323	0.443356213	0.432934825	0.439292583	0.438198526	0.429771164	0.406428783	0.458	-0.207	0.155	-0.125	-0.185	-0.25	0.341925704809	0.580478457831	0.609383990523	0.621121361181	0.593900099629	0.550135449262
ENSG00000004059	14.7615	14.7003	14.6396	14.5211	14.2685	14.5615	14.5801	14.6013	14.7082	14.7254	14.7429	14.7801	14.7013	14.5576	14.5376	14.5362	20.8245	20.9918	21.0017	20.7787	20.0087	19.8316	20.3798	17.8568	21.0988	20.914	21.197	21.2712	19.8325	19.8018	20.0382	18.2339	0.621684409	0.613351753	0.504343524	0.3324342253	0.365311352	0.447328484	0.0691850111	-0.363	-0.484	-0.554	0.323	0.403	-0.99	0.451088867925	0.316103396226	0.257642748092	0.4900500306	0.403572744908	0.00439130434783
ENSG00000004455	12.5731	12.5124	12.4516	12.3292	12.2349	12.366	12.4943	12.5902	12.4136	12.3675	12.3214	12.2296	12.9281	12.3939	11.8584	11.4568	23.7873	23.3621	23.4833	23.1395	22.7197	23.0358	23.4471	22.458	23.5057	23.2288	23.503	23.3162	22.7384	22.9147	22.9231	22.5219	0.48209885	0.513473163	0.457047972	0.428867589	0.438891943	0.46066354	0.365784534	0.273	-0.349	-0.263	0.193	0.225	-0.489	0.532836953869	0.464745792426	0.540346054486	0.589373647712	0.568262620069	0.310918667699
ENSG00000004478	11.3812	11.2831	11.1844	10.9842	10.4235	10.8533	11.2576	11.5611	11.5233	11.3882	11.2533	10.9833	11.0403	11.2217	11.3585	11.4546	25.833	26.0041	26.0071	26.0974	25.9771	25.9681	25.7467	25.2844	26.387	26.2459	26.4342	26.334	26.3528	26.117	26.1487	26.1999	0.502905822	0.523216151	0.530352581	0.53608837	0.539152505	0.502351302	0.388804129	0.238	0.153	0.167	0.18	-0.323	-0.693	0.559005560308	0.610061339858	0.602965118302	0.596932011078	0.4900500306	0.16395985727
ENSG00000004487	8.83785	8.85787	8.87789	8.91793	8.45215	8.60089	8.72583	8.81911	9.19227	9.01529	8.839	8.49107	8.74544	8.6067	8.72803	8.85536	18.6062	19.9658	17.8591	17.9416	17.1476	17.7386	20.0624	20.1324	19.3399	17.5124	18.1767	18.7167	16.8871	17.9008	18.5731	17.0458	0.459804205	0.405213986	0.418500585	0.3227845206	0.711210895	0.823135566	0.759820659	-0.39	0.339	-0.436	0.797	0.449	-0.348	0.418791666667	0.474720053165	0.364558910598	0.107182080925	0.351285443038	0.466010621626
ENSG00000004700	9.85531	9.7882	9.72085	9.58401	9.80542	9.91411	9.81696	9.76069	9.65882	9.66474	9.67041	9.68062	10.0656	9.93603	9.86348	9.81501	21.7265	22.2386	22.1398	21.9162	22.3617	22.263	22.0157	22.3098	22.7673	23.226	22.5207	22.9035	22.9199	22.4928	22.5879	21.9379	0.617823057	0.501006561	0.527684181	0.558843171	0.438888769	0.414463649	0.404053378	-0.488	0.266	0.313	-0.591	-0.289	-0.22	0.311921001927	0.53812719715	0.499596016863	0.229707172496	0.52001409002	0.571724148327
ENSG00000004779	14.3841	14.3191	14.2539	14.1225	13.844	13.9149	14.0499	14.1536	14.0912	14.0683	14.0454	14	13.9185	13.8755	13.9884	14.0869	20.0427	20.1228	19.7069	19.7975	18.865	19.2313	19.982	18.5332	21.5354	20.4004	20.5295	21.2005	20.197	19.6318	20.6156	20.6682	0.434259719	0.439839283	0.475889469	0.364217671	0.402585698	0.582521989	0.397226364	0.267	0.288	-0.454	0.289	0.537	-0.52	0.537383762518	0.520906895208	0.346176298701	0.52001409002	0.269336524653	0.283948490231
ENSG00000004864	10.6327	10.5956	10.5584	10.4827	10.4033	10.128	9.85132	9.64366	10.7714	10.683	10.5947	10.4177	10.1246	10.1254	10.4254	10.5379	23.6802	23.9318	24.0015	23.992	23.9842	24.005	23.7963	24.0155	23.1094	23.3688	23.014	23.2033	23.712	23.2938	23.579	22.6957	0.480555051	0.476955034	0.502665861	0.545880316	0.536589069	0.542444929	0.501265903	-0.226	0.276	0.336	-0.216	0.17	-0.302	0.567756812129	0.53029516508	0.477840712302	0.574450803412	0.601728791324	0.508858309119
ENSG00000004897	10.517	10.5154	10.5136	10.5096	10.807	10.5507	10.3686	10.2328	10.2769	10.3702	10.4637	10.652	10.3809	10.3794	10.3455	10.3328	21.7583	22.8054	23.3885	22.2812	21.2859	23.1005	22.9075	22.9382	23.8998	23.5353	24.3445	23.7142	22.2667	21.6945	22.95	21.9388	0.728765106	0.745460946	0.322095365	0.2034552173	0.366312068	0.460633283	0.397994442	0.331	-0.865	-0.447	0.654	0.425	-0.371	0.482077930374	0.0718299319728	0.353540675845	0.188515909091	0.378971106219	0.441691605477
ENSG00000004961	11.2626	11.266	11.2699	11.28	11.4927	11.4679	11.328	11.2127	11.3646	11.3618	11.3594	11.3576	11.3679	11.3073	11.2377	11.1844	20.2865	20.8072	19.6953	20.2987	18.9024	20.3723	18.8882	18.0447	20.4825	20.1028	19.4749	20.0409	19.4871	18.5693	19.4707	19.1843	0.568995388	0.450614167	0.520957595	0.359047836	0.365388144	0.32183199	0.2824650109	-0.446	0.433	-0.591	0.276	-0.307	-0.306	0.354038701623	0.368629350348	0.229707172496	0.53029516508	0.504696845381	0.50543976328
ENSG00000005007	12.078	12.1967	12.3168	12.5641	12.5356	12.1428	12.0954	12.0561	12.2849	12.3295	12.3734	12.4631	11.9923	12.2126	12.056	11.8988	21.1875	21.3509	20.7889	20.2519	20.9968	20.8109	20.2813	20.364	22.0212	21.5986	22.1131	22.296	22.1036	21.8302	21.2238	21.7045	0.481970497	0.468577103	0.458860567	0.462193256	0.42542893	0.371300971	0.446331378	-0.218	-0.184	0.191	-0.313	-0.381	0.388	0.573017077799	0.594439465125	0.590537018302	0.499596016863	0.429470563321	0.420832003546
ENSG00000005022	15.1971	15.2489	15.3014	15.4095	15.1255	15.0399	15.2468	15.3603	15.366	15.2662	15.1663	14.9665	15.0355	15.0609	15.1077	15.1426	23.898	24.2753	24.3885	24.7021	24.7544	24.6975	24.8197	25.1253	23.9717	24.3462	24.1337	24.4131	24.974	24.8561	25.0186	24.5641	0.447422609	0.439106532	0.556257496	0.602250035	0.595514817	0.599170437	0.592312785	-0.177	0.695	0.367	-0.168	0.174	-0.207	0.598343483665	0.162817446043	0.446549303944	0.60256596375	0.59973689783	0.580478457831
ENSG00000005156	7.13339	7.18123	7.22839	7.32107	7.43484	7.37119	7.26502	7.17412	6.96453	6.98004	6.99313	7.00426	7.7327	7.42104	7.30893	7.23924	19.7086	19.8488	21.1618	19.9826	20.2059	18.1255	19.1402	19.6724	18.676	18.5868	19.2844	19.1762	18.2066	19.4502	19.0148	19.1776	0.687434638	0.75954313	0.487645391	0.342822381	0.322099934	0.382345582	0.50901097	0.417	-0.721	-0.513	-0.252	0.334	0.485	0.388295120672	0.149317097416	0.29028288908	0.548819327258	0.479383182113	0.315274346343
ENSG00000005194	11.456	11.4404	11.4247	11.3945	11.5419	11.2528	11.1618	11.1035	11.5715	11.4576	11.3437	11.1162	11.1294	11.1307	11.1142	11.1081	23.5622	23.5957	24.03	23.6349	22.6601	22.247	22.1825	21.6265	23.8541	22.627	23.4253	23.1682	22.5452	22.0819	21.895	22.3564	0.490996796	0.698654331	0.560238575	0.30527124	0.298132093	0.301642809	0.311627675	0.6	-0.479	-0.812	-0.168	0.134	0.193	0.224934835566	0.320504983389	0.0994764150943	0.60256596375	0.617930904933	0.589373647712
ENSG00000005249	7.79126	7.72047	7.65026	7.51081	8.7598	8.16758	7.81657	7.57168	7.91634	7.91384	7.91101	7.9008	7.33393	7.91681	8.49076	8.93163	21.0929	21.2466	20.8676	21.1478	21.0215	21.0175	21.4325	20.5891	21.5129	21.3504	21.9239	21.2681	20.8419	21.0629	20.4084	19.8708	0.563445397	0.552629346	0.496896978	0.452785457	0.430718878	0.40813127	0.1909223378	-0.272	-0.358	-0.364	-0.26	-0.273	-0.915	0.533850552386	0.455554061521	0.45007152343	0.542161605585	0.532836953869	0.0449076923077
ENSG00000006451	9.38907	9.3802	9.37196	9.35798	8.62792	8.72751	8.95484	9.11383	9.57961	9.5195	9.45934	9.34111	9.38402	9.13843	9.15888	9.19881	20.2131	19.1361	19.5983	20.0585	19.2786	18.2852	20.474	19.7359	21.1655	21.6366	20.6144	20.9724	21.3594	20.2692	20.2038	19.2706	0.45155961	0.45180648	0.488482514	0.46059701	0.3920192404	0.560297881	0.411437077	0.278	0.297	-0.283	-0.344	0.486	-0.47	0.528591941118	0.513150142026	0.52476431662	0.469942379816	0.314138338415	0.329467702083
ENSG00000006625	6.68231	6.65147	6.62079	6.55926	6.5065	6.26445	6.63479	6.82604	6.72383	6.64411	6.5644	6.40396	6.05652	6.31772	6.563	6.74595	22.93	22.3152	23.0915	22.7923	22.2179	22.5504	22.3998	22.33	22.5263	21.9146	21.8411	21.8779	21.5658	21.7461	21.635	21.5187	0.436547821	0.54618717	0.504596004	0.492773284	0.521054527	0.506787334	0.489796983	0.472	-0.258	-0.173	0.215	-0.171	-0.205	0.327336782019	0.543876124567	0.600294490407	0.575196382684	0.601230782715	0.581946970422
ENSG00000006740	9.09155	9.06504	9.03827	8.98175	8.5753	8.67631	9.06859	9.39539	8.61538	8.63346	8.65164	8.68854	8.02341	8.49132	8.79007	9.03834	21.7117	21.6674	21.7036	20.9888	19.5864	21.1018	20.5261	16.9703	22.0953	21.5036	21.8284	21.8808	21.2969	21.0086	19.5703	20.9841	0.560119772	0.544714384	0.464285082	0.3940541532	0.493563845	0.2514419778	0.125132875	-0.374	-0.387	-0.374	0.427	-0.651	-0.503	0.438053419668	0.422136473696	0.438053419668	0.375981838502	0.189469879518	0.299041940789
ENSG00000006744	13.6554	13.6787	13.7027	13.7545	13.3034	13.5372	13.6915	13.8005	13.8604	13.846	13.8311	13.8017	13.7037	13.6321	13.6634	13.6956	19.5992	20.9225	21.1886	20.6616	20.0843	18.9456	19.3004	17.8798	21.5153	21.0405	21.4307	21.3806	19.9139	20.5	20.9378	20.4682	0.769520077	0.761841325	0.540128431	0.3111621138	0.344358654	0.402348667	0.2598117994	-0.29	-0.624	-0.624	0.286	0.326	-0.527	0.519117577664	0.207351551957	0.207351551957	0.522486155827	0.487380723266	0.277700137552
ENSG00000007080	10.8891	10.8178	10.7461	10.5999	10.3688	10.3995	10.4471	10.4906	10.9562	10.8788	10.8013	10.647	10.7681	10.7156	10.6638	10.6251	21.4173	21.2275	21.6285	20.8025	20.8051	20.3829	20.5311	20.1486	21.1981	21.3322	21.6732	21.3411	21.0633	19.736	19.6835	20.1452	0.5791816	0.638744831	0.432534016	0.382886145	0.289756824	0.30649685	0.318466566	0.372	-0.668	-0.383	-0.515	0.24	0.183	0.440425974026	0.179087761675	0.426763480129	0.288504555315	0.557441702586	0.59491886044
ENSG00000007168	11.7341	11.8064	11.879	12.0271	12.2595	11.8077	11.7197	11.6403	11.9657	11.9331	11.9004	11.8346	11.6886	11.6634	11.6275	11.5986	22.7431	22.766	22.9979	23.0811	22.1661	22.8739	22.925	20.3265	22.9514	22.4841	22.7699	22.6707	22.3079	22.6041	22.0526	22.6725	0.475390421	0.494856055	0.457530263	0.405675929	0.436292927	0.379308981	0.2555126238	0.304	-0.32	-0.334	0.298	-0.368	-0.563	0.507260675412	0.492963096852	0.479383182113	0.512432179226	0.445140268849	0.251354736842
ENSG00000007392	11.909	12.0194	12.1295	12.35	12.7831	12.3289	12.0951	11.9432	12.2074	12.226	12.2448	12.283	12.0523	12.068	12.0464	12.025	18.3793	17.7248	18.5973	18.3664	17.5462	17.4401	17.1355	16.7766	18.8075	18.6695	19.4025	19.3023	18.7643	16.6793	17.9476	18.4637	0.612771396	0.757461331	0.703132949	0.27906926	0.2134982354	0.333795801	0.391555891	0.506	-0.372	-0.895	-0.343	0.594	0.367	0.296678318768	0.440425974026	0.0548981481481	0.471014576271	0.228222355051	0.446549303944
