ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000106336	6.7620693138	6.6721412321	6.5810722915	6.3935013177	8.1542348319	7.3717962369	6.7222853832	6.2555365816	6.5051294225	6.5436505837	6.5826054083	6.6562546837	9.8403339144	9.8421421508	9.8421421508	9.8421421508
ENSG00000129910	4.4297582133	5.1319853288	5.8368132947	7.2588143451	9.5660991952	10.1843751573	8.3616508098	6.920933899	4.5368583494	5.3187557129	6.1019419452	7.6794089611	12.0841316946	9.9984415361	7.884433631	6.3119115851
ENSG00000120738	8.7092178693	10.5802874597	12.4512738312	16.1922850811	10.5457426959	10.2005229084	10.139100656	10.135335296	8.5017966154	10.4878495749	12.4730716476	16.4327939581	8.2671551805	9.0409957378	9.0310101965	8.9373332322
ENSG00000167861	5.3388192311	5.3554287704	5.3725506952	5.4097701023	7.3742901963	7.3752800711	7.4698315779	7.505288393	5.7988027313	5.822623777	5.8480678032	5.909190046	11.3703781012	8.3416315606	7.9837182471	6.9257224699
ENSG00000211803	5.5123265454	5.3969690075	5.2825309808	5.0547236881	4.4750347776	4.4742786939	3.719245361	3.4361078612	5.7094822272	5.5943805423	5.4811279445	5.2657124467	5.9546437249	5.238266907	4.9159761047	4.6894318415
ENSG00000205045	4.0557760962	4.200665044	4.3451670099	4.6302042018	4.2270403618	4.0409542841	3.9911880791	3.9716566352	4.6877115351	4.5339197825	4.38012803	4.0725445249	4.1812081997	4.1808673671	4.4304340021	4.6400496512
ENSG00000187479	6.8080009498	6.9118168217	7.015607567	7.2279872927	9.9185672378	9.1072825374	8.0250981434	7.1808653668	5.895962304	6.1576471867	6.4193320694	6.9427018348	10.9169876492	9.4728794939	7.9986405693	6.8879259692
ENSG00000175197	6.9955857507	8.3730404502	9.7504917961	12.5071015292	12.4452970746	10.5644827642	8.4767826328	6.8810477083	6.9209353077	8.2058074134	9.4907389501	12.0618588174	12.43464719	10.7004732729	8.7948011794	7.3411601274
ENSG00000185615	5.1166097904	5.2709023319	5.4271785544	5.7493626616	7.5393548645	9.5511970891	9.569400143	9.4544546301	5.1527111003	5.2156173196	5.2783118138	5.4016829747	10.3468985487	10.3513106167	9.0669722238	8.5853453265
ENSG00000107731	5.2252174117	5.2369780291	5.2495060542	5.2782939107	8.4036512809	8.4054421409	6.7805838194	6.1712619488	5.117481004	5.1033409947	5.0871854993	5.0438632665	10.0174527173	8.8961576123	7.4247121272	6.2838094012
ENSG00000173068	7.7803935273	7.8484273117	7.9170414359	8.0551114418	7.8334922027	7.4766339458	7.3081214447	7.2012988934	7.5493189988	7.5386696911	7.5277830231	7.5063755784	5.7806862701	5.7795233162	5.7795233162	5.7795233162
ENSG00000128965	7.6404486723	8.2873063911	8.9341641099	10.2278795475	12.97629744	10.6645715998	8.3420901606	6.5976656845	7.6269247178	8.2834959221	8.9426818164	10.2749461936	11.676069754	9.6937481477	7.8722987238	6.5324486499
ENSG00000167772	8.3170597228	8.1605592382	8.0039183261	7.6886928972	7.1525352857	7.1540700261	7.1540700261	7.1540700261	7.9777112901	7.999381239	8.0209547781	8.0611529673	11.6144884367	11.6176326274	11.7609122125	11.814642057
