Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Gphn	16.42077391	17.22102243	14.7193465	24.19383798	28.08179591	22.77076345	24.20167122	20.3324734	17.85913922	15.62419201	20.05243037	31.76488516	22.38274952	28.53730452
Actn1	334.0887923	391.960311	511.541297	531.0319949	611.9008598	452.3316818	319.2158005	397.5358799	382.8024022	656.206942	716.0862712	678.5928526	533.4763425	474.3871541
Cul4b	23.1495691	27.35800209	16.04815417	13.89655408	16.29522143	13.55187363	16.62593448	18.49093862	17.52376815	16.22857981	11.47071157	13.3028693	13.37389621	16.12844036
Txn2	303.8660297	266.1694889	188.0886926	143.3490169	107.0010014	92.45204898	91.32997906	295.77875	220.217116	192.0610194	152.3326976	81.57458498	119.6736484	98.00942689
Rpl19	2839.648797	2725.651733	2727.693341	2699.824005	2343.131318	2388.922224	2441.861469	2547.251463	2555.572257	2570.735846	2446.899324	2578.953467	1933.71403	2140.264212
Arfgef2	18.47821065	14.59344531	11.75848919	9.239034477	8.672212228	11.6695433	14.46212823	12.04291577	10.55687383	8.187290645	6.541666163	9.43557161	7.87333774	8.719757239
Stau1;AK041781	47.91665184	53.3807643	55.46222838	69.16796714	71.45582672	60.19557149	59.40830342	38.41590669	50.93428214	66.24231771	81.62221783	77.31529965	60.11905427	58.39645947
Sh3bp1	121.5209137	99.63503154	69.38287837	27.17556219	35.52979098	43.42176538	50.01796069	78.75405634	101.5769398	47.96096602	24.42278702	29.69000792	41.54842086	42.26928143
Bptf	34.22754194	39.38919487	24.92419739	34.34541585	41.4325371	24.73885779	23.9821018	57.17665246	69.32415491	41.48486233	63.49167234	59.15765625	53.25834131	44.70269716
Lasp1	278.3175601	224.103424	245.4311403	200.689859	215.4843112	242.4687109	213.4807253	232.2907072	221.0737915	239.6327131	182.321298	201.1328549	204.1100356	181.5604277
Snf8	233.8042743	243.7937713	185.3644469	221.8422741	171.7695808	169.5402543	179.342203	291.2121123	320.5181718	170.3324239	227.7638042	196.7625635	244.3949916	202.6500322
Cd300lf	209.728134	259.4159785	204.714884	158.5105708	207.3976556	271.8023693	361.8522446	496.4840798	532.5006105	289.9930432	161.5455301	256.8272769	497.5111826	525.9649798
H6pd	14.27726742	8.702466287	2.095479693	2.185774855	2.90415115	6.973600483	11.03474662	8.056340357	4.235599755	2.229256587	0.366763138	4.041949932	4.380367852	4.989424076
Lepre1	14.75986943	9.890257428	7.4256121	3.870836681	4.496069451	6.725312806	10.22556278	9.750650721	7.671372818	3.876375015	5.671934571	3.637849757	4.913508599	8.727386327
Epb4.1	36.93864825	43.70666913	16.97422883	6.434395096	8.562881439	15.38048186	26.53048257	46.33021378	66.15270637	30.38465023	9.648635887	13.32734357	20.07427193	34.94783969
0610037L13Rik	40.83216029	36.65179825	38.39918461	30.17730131	29.95922977	35.89940401	32.5126451	31.7053081	21.74691662	36.48960462	40.48389872	24.14062894	19.75551724	40.11764049
Srrm1	129.9400891	183.8410626	136.1119133	128.5478509	107.4362665	102.6803457	122.3211217	229.6867881	466.4992974	238.9826402	217.4258349	154.2589	228.6508812	242.2039118
Osbpl9	84.35775088	68.38537892	66.01616608	42.86664048	52.5253741	67.04304304	72.5694949	35.3220959	41.9641488	43.79025464	39.12536964	43.57389198	36.07295513	44.60520658
Gosr2	74.48442338	76.9700013	75.13525039	79.96606465	86.90089433	116.5979557	114.547035	39.9886984	36.61678711	73.07371457	54.05278675	60.28792315	60.74135254	75.5797661
Nrd1;AK138781;Mir761	98.70751088	100.6611109	103.0251027	72.46489998	53.90163627	63.40104089	84.64264998	98.01436879	137.3395723	103.9829966	81.04983246	67.24162827	72.83846786	67.32166343
Sec24a	65.79217297	250.4414365	68.60814061	80.3913601	63.9222318	48.10929027	45.58871512	106.3971217	190.0518258	95.65629304	111.9468712	88.41585294	133.999113	94.62401902
Exoc7	21.5882494	16.54047981	13.79496788	9.913304556	13.77546146	17.25779957	17.63405027	13.92952229	6.100530708	13.48662562	9.426133141	12.73258277	10.21194051	18.18830549
Sh3pxd2b	167.5721119	214.4208986	147.4834843	99.7831498	78.63137365	87.55412083	100.5065749	168.8198419	185.7573856	117.0529959	55.2385771	61.4774693	85.89632118	82.94584363
Arhgap27	27.84326736	16.99666253	6.91822096	3.511066284	6.698545955	14.2201365	19.00682155	17.55178177	26.29014572	9.686967515	7.969867106	6.649412493	18.4688007	29.44826346
Pcyt2	61.96298588	90.09596466	59.79676307	28.87291661	20.83548819	13.84421937	20.89798842	53.18154085	102.0023613	73.4164516	29.77407988	23.88814522	11.48023364	10.96640391
Ebp	119.4907687	125.0357348	109.8454414	70.45404386	50.01539035	37.08340425	32.03192957	160.7041542	99.09053312	98.97678526	91.2722155	59.9967777	73.01107829	56.18799428
Rpn2	242.6729237	222.9509925	236.2533245	187.8532949	161.7389493	158.2538451	154.3493081	198.6762703	146.2907424	136.9006446	137.6672716	133.5766231	128.2483661	124.3945413
Chm	16.17605915	16.06221277	19.08132853	12.55018921	21.97295053	24.40167534	23.15835725	10.95885951	17.49097266	16.50925537	16.39258671	23.61202148	19.1518113	20.36052006
Ddi2	31.54200538	18.08372557	5.894887895	3.013649917	3.008748306	8.993711797	13.19590905	22.95852135	14.30285609	3.635028117	6.708650411	6.582572956	7.332994008	7.239647263
Ampd2	76.02754805	115.7351373	66.24634737	27.9777307	24.32706054	36.72815328	41.8329285	46.21510127	68.96430465	53.25932498	23.89574702	28.0127233	28.97992868	23.43082122
Tcfe3;Tfe3	113.6586379	109.7757078	69.87995069	50.40664439	59.36722356	62.01238247	70.29859037	137.8647854	108.296283	82.51019336	71.17691345	71.88976533	110.250402	89.8442173
Huwe1;mKIAA0312;KIAA312	70.00536527	66.91313321	74.66762534	51.76109824	36.61169441	36.80239091	47.27273657	92.4775434	147.1750485	101.6948391	116.6519274	50.63049	94.82683701	68.74547905
Mtch2	132.7341532	102.9491591	108.1240977	93.95303204	85.06948727	69.94260519	69.94841281	90.37842288	90.27249541	91.17266738	57.83676358	66.75080497	49.23129545	52.58163807
mKIAA0031;Eftud2	63.46815534	79.25115771	50.72046011	35.88509183	32.61211721	30.17718553	34.75871372	54.36834858	93.56931873	49.86928667	49.3482366	33.70107556	53.3998052	31.78137273
Dgkz	132.3951942	69.21617073	43.24456936	39.89298095	51.64494854	73.43442182	80.48757937	126.1357893	97.38118973	53.32607259	43.99309007	58.8359924	86.559469	79.11244568
Bcl2l1	89.53155015	186.5205088	321.4559935	195.3225743	141.1931675	119.6707052	111.6117241	150.838158	144.3272458	290.6215329	165.3949194	131.4252959	183.2700619	132.0041071
mUBPY;Usp8	76.65823452	53.63152573	49.71452006	40.70387439	42.59541284	53.95067807	61.83537154	65.0494522	84.66400436	66.66902793	54.1533171	55.29568723	53.86849029	59.51017738
Card9	92.16298217	72.57561992	40.21616325	16.50900654	21.99146406	27.7735002	47.12302477	64.1890869	76.57384955	28.38406075	16.99021723	18.28758379	20.89073476	41.50580823
Sec16a	35.22138052	23.73686419	18.90876324	14.04063254	18.51443232	20.48476385	27.83732999	22.664934	15.17374115	14.19438232	9.059235848	13.61985576	15.22000257	20.87790287
Mtap7d1	165.5468628	140.7716056	115.2656803	77.63803929	87.94682562	97.26360059	114.9952271	173.6357921	198.7526378	116.6711072	86.93648964	98.61273027	101.006823	110.4186323
Ttc1	61.73868556	69.55867554	65.08752309	85.51118458	75.3426321	62.59861377	69.82909253	47.36773132	110.4677815	62.53157828	65.83631765	53.60553853	40.97634277	68.57982991
Agps	53.46431069	36.78890246	32.23630225	16.69625401	20.29758823	20.74566621	22.08603983	25.76904111	34.47350841	22.32914573	12.1676787	15.20565425	12.04993963	13.43936704
Asph	29.79614122	41.02747069	28.64764353	25.46550369	21.9219307	17.10138592	26.20817165	30.84498404	27.68681181	28.26494974	25.13757002	16.21525722	22.37625343	23.46684251
Dnajc8	166.4631221	176.4033432	145.8406645	131.2001073	165.3522713	167.6276091	154.5210771	326.3933969	252.2626268	217.0284256	261.6373702	256.7825465	252.0335258	273.4164271
Ubap2	33.52838188	26.68981132	22.73756927	14.63005899	11.41151381	12.40821366	15.35548206	28.09837208	29.09621114	25.91589702	18.60575889	10.673873	11.90529184	12.65644812
Ubr4	22.38844039	28.94508807	37.41757176	59.36376963	45.78259092	41.79363761	40.97725768	35.32253312	102.7635191	46.21423872	94.33879105	75.40643109	89.91280689	67.68058931
Hmgb3	31.42702622	42.35954769	20.80435138	16.14031839	7.293415485	4.304239195	2.286256511	43.4684197	26.70292018	21.65276594	21.21110287	16.82660513	16.03852688	14.14304509
Cd44	367.056474	646.3598437	672.2054532	513.4629291	395.633963	242.5437463	186.8143339	569.5369058	680.0286958	1086.244136	750.6096222	513.8586414	463.9573091	318.3346738
Fmnl2;mKIAA1902	11.88534042	18.01920023	24.65769489	58.73082458	96.03807489	96.37650892	84.51714684	14.79247209	19.75165453	22.52367702	75.31476768	114.224172	87.99287495	79.72633748
cbp82;Rtf1	78.36222921	101.8400048	106.0987974	103.5923932	87.65853447	49.54176222	51.95560306	251.5571071	241.225771	142.4010011	152.6401583	137.3149891	120.0977284	148.8256677
Acss2	26.20415389	27.25618419	17.10649171	16.75392551	10.59023538	16.45666751	31.4551219	26.47431056	19.67777708	20.5361255	7.117974615	10.4255918	20.74128416	22.13778903
Srxn1	147.3516434	159.8329658	187.0097477	146.8476311	99.31847094	175.9396877	327.9136568	107.7620368	155.7915898	185.6211953	101.3829568	70.83073359	107.3861502	219.9220856
Ppig	76.73709142	146.0256917	110.0164658	101.6518298	92.55941018	72.03483471	92.51444569	211.3112048	386.5545924	185.556474	239.5701982	177.1090316	243.1068696	213.6057617
Ssb	237.013507	271.3784196	211.776583	153.1187834	161.8295542	128.0055553	138.2322403	535.1199186	495.996643	370.5130626	336.6952824	291.5461815	331.0034272	270.0231156
Slc2a6	209.2274014	652.8691365	812.4954654	754.4041675	714.3679285	562.1363102	405.7838387	105.570267	429.1939906	504.1669099	490.5431178	572.2955016	282.460636	216.7913467
Kynu	16.40869721	27.09382573	26.69416807	120.950823	201.2805314	177.479973	107.1546269	16.65552749	70.86307098	27.00581905	153.6793039	205.9162897	112.9389762	87.32944101
BC006779	7.765712453	37.83824833	156.7492224	208.3026528	173.3612583	170.6589027	171.7669964	4.583601425	21.84351495	123.1706626	160.6245113	157.2790606	110.308474	99.73173709
Ttn;AK086312	0.368999325	7.387560153	1.120412604	2.271677511	0.154052245	0.325376977	0.532367749	0.061245304	0.324723911	0.040279882	0.794859836	0.017682192	1.316019061	0.050430907
Gorasp2	116.7184204	138.2857788	119.3133649	112.7043042	110.730749	108.4044045	85.5347002	141.9349301	88.38899343	118.439893	109.5001849	115.714834	108.6640186	105.4870998
Raly	191.1796432	137.9601945	142.520983	85.66364099	89.52489636	115.005929	104.7573673	112.0987241	111.4893891	78.27042563	66.56172885	64.11238103	65.97151682	60.85287495
Rrbp1	216.8027231	407.0328855	444.4631856	352.8398516	286.3053064	210.8644123	248.0744497	660.736884	1882.513487	599.9929799	1091.062267	756.8114094	1011.075757	831.7150048
Rabgap1	17.71698735	18.82751329	15.37219003	11.90946831	10.61271419	14.16947849	16.47309566	19.06404114	23.93395177	15.86505788	20.87203196	15.87048316	20.92310754	18.99649559
Adnp	47.59534808	33.19770785	38.33984787	27.97208529	40.74650639	36.91881599	38.29209808	37.34939265	30.83392499	30.28436361	24.32789486	32.1805347	27.28169024	29.79762951
Set	373.7415255	385.5479514	330.7084445	232.1741826	176.0511834	172.7120166	181.675937	645.739419	837.5287634	523.5214188	353.3865878	265.1792653	330.9306605	256.9184815
Arid1a	50.90089501	37.40298121	35.52866529	51.14175319	61.1263338	39.07793989	32.6452727	57.80025712	45.45114477	34.05250263	78.16181017	65.31439809	50.9572245	44.96246181
Clec10a	236.6027329	221.0561686	158.9526341	50.58318586	20.45603059	6.064869721	4.756469674	279.2254529	137.5747997	130.4327019	50.23569872	22.09656396	18.00009798	8.276848016
Lcmt1	54.54662585	43.1072734	38.77340971	23.64613679	14.75734885	23.05555672	26.17376846	42.70379417	7.254378441	38.20064723	23.89881474	16.18905827	21.53394696	14.81765411
Pabpc4;Gm12612	74.17283659	82.34195541	59.84137794	50.09875522	24.11837368	20.40956456	19.92476383	95.86606875	97.85511162	77.27488324	42.02793968	29.58495698	24.10587021	16.79121059
Kdm1a;mKIAA0601	43.5552959	66.17764112	58.52071215	80.84964046	69.66084078	53.13639547	54.42771048	167.1012758	127.359959	109.202171	195.6084062	127.6444479	245.2253916	123.0533282
