Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
0610009D07Rik	3.26085621767239	3.3570533939949	3.17033287122412	3.16649823704736	3.08530599732225	3.03637578304751	2.90048849867782	3.35329057168361	3.28518810643812	3.15048262089228	3.1177461141284	3.19382249371862	3.05547335445226	2.9667550746002
1110004F10Rik	3.85664112552584	3.84251645839514	3.81264653960815	3.78922992914846	3.79720347375208	3.61311525138607	3.65284726408359	3.829305761621	3.81899554888295	3.86784795785457	3.82595715691279	3.86163460924865	3.70534952956426	3.61325093278356
1110005A23Rik;Sarnp	6.25569541570746	6.07643512079108	6.17620974727115	6.25599192392656	6.09299787547845	6.09084766124776	6.0656178996404	6.17339727465841	6.22205237586801	6.12116669545853	6.09810288504118	6.11753211097053	6.12549357491633	6.06741471661841
1110059G10Rik;mKIAA1143	2.53517541957123	2.47542717643038	2.44419714820102	2.39965020987887	2.22275024163242	2.18097339747099	1.87428742378372	2.56887622201948	2.451868047116	2.45293639831393	2.39982334230694	2.18473288556628	2.15361988185099	1.94365520364261
1810013D10Rik	2.76424438675805	2.5956677964634	2.66190418812606	2.49870091156509	2.34445532962476	2.19750439640661	1.89628906634977	2.77005390240034	2.68558098702183	2.61187279398285	2.47078913026506	2.43039080198777	2.18682981990755	1.97156899702515
1810029B16Rik	3.18119324934416	3.05189449421067	3.08644496215768	2.9459901001686	2.88771585643715	2.93132546647135	2.77516062060882	3.11280279694949	3.09532733129097	3.01802432305577	2.97231304738265	2.92254309493344	2.94387762147666	2.72188038639343
2010106G01Rik	2.78047581029946	2.71324864984052	2.75272320148639	2.72356648417765	2.62561410031802	2.56802912311302	2.47007339269435	2.64223863267017	2.7167884856973	2.7258266581831	2.74825110850153	2.64091016213062	2.58751041070651	2.42340423855541
2310014H01Rik	3.67145693826967	3.75989148452017	3.70066554117623	3.65235752219036	3.6762173250793	3.48964120757212	3.63234346759857	3.71562537323599	3.69152799377407	3.74330134542119	3.75650962308898	3.60903252429158	3.62952189518126	3.71102402682296
2310022A10Rik	2.36479735740532	2.40184480928687	2.23718219009715	2.20322679133862	2.09286497118144	1.98892915335571	1.79102433053468	2.39109415583275	2.34251626823645	2.25830456371906	2.24787133414117	2.1956346254754	1.92514183701644	1.8290816112791
2310045N01Rik	3.102726901495	3.06591475175494	3.06541325150438	3.07593928742605	3.01037956907815	2.92782468197666	2.90806223759258	3.17726282615678	3.00854119220515	3.06394606291777	2.96795591218758	3.07087307419437	2.99572691988519	2.85309259042852
