Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
0610009D07Rik	31.49702980266429	32.401920517758874	29.806597268992466	28.47249271086669	27.682751232228625	26.187620688702438	24.693850064189025	32.34610261479473	31.068010564226544	28.467339405403273	27.70609097143143	28.463284227615052	26.92804694126211	25.557965026597365
1110004F10Rik	55.63342190658766	55.33876928699921	54.289821804390314	54.67906997744554	53.94263860003369	49.73245814863618	49.41493096056051	53.646475210146825	53.83581221147641	54.856680512597414	55.52104538233967	55.75131583012138	51.39811715134202	47.96746398627575
1110005A23Rik;Sarnp	548.5785928483963	499.69166128660027	528.6294161805805	559.19161081944	525.7564490985111	517.1358760428263	516.2594802881725	533.6318195833949	547.4284373313678	522.3235588863126	512.3725082288772	524.5736653035358	528.5633568629296	520.0669648401346
1110059G10Rik;mKIAA1143	13.586774961645995	13.432311422801636	13.291709552828404	12.853308601482333	12.244586017540644	11.644328845313446	10.523878315869041	13.853396920055921	13.268784925525997	13.267630588378506	12.856379392327424	11.761963306341249	11.453309751097214	11.10328950226245
1810013D10Rik	52.96762408840525	54.679069062999794	57.090721951688565	59.260253926438075	62.736092861917236	65.79971497299474	63.464723880277376	53.35798918698762	57.48624864476972	57.187666388836206	58.73159169198345	60.146099455974664	62.0849377350269	66.10454493226982
1810029B16Rik	30.546710665115995	28.877351481987233	28.302016646928603	27.378452915501367	29.895552797578357	36.03332717661969	38.80591852681457	28.921171021119527	28.846140576567354	27.334470072998613	27.39078056206714	31.717443411468757	38.78141092580084	39.70975751298536
2010106G01Rik	16.84344375663952	16.464669017237213	17.01378410215147	17.49852622147689	17.354493513865137	17.88110358315158	17.802474805990382	15.566008992978631	16.318802532909604	17.26891237030514	17.965381912758907	17.91639695265338	18.12798168362724	17.784823309386173
2310014H01Rik	48.163269140420454	50.981801446739794	49.89259077675217	49.29661332757238	48.237380591606566	45.217935882737095	48.0081402682719	47.52428877901377	48.05143314275453	50.26128450881082	50.6842285602058	46.97980513076033	46.69276188077593	49.357011175647436
2310022A10Rik	11.013081967271027	11.269290926625988	10.43161313390697	10.089200741365818	9.739177124671526	9.132927520150982	8.738087964653648	10.945818449718647	10.767513683909643	10.329776598305541	10.508713333330453	10.220202885073663	8.976489368146552	8.772584184417237
2310045N01Rik	23.954621099650147	23.4306454622448	23.3619879479506	23.517558640809533	22.315152485069735	21.220513071754592	22.171288049137594	24.90653471188351	23.108643014340032	22.798755373824818	22.479128691618804	23.031849424520576	22.2379752732993	21.37656492029911
