Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
0610009D07Rik	5.29209	5.35252	5.26734	5.20898	5.18317	4.97045	4.8198	5.54966	5.19169	5.09895	5.09289	5.06456	5.14589	4.95071
1110004F10Rik	4.94012	4.74824	4.60679	4.53861	4.6219	4.67404	4.66236	4.74281	4.87438	4.83296	4.64394	4.59158	4.53064	4.57575
1110005A23Rik;Sarnp	5.34434	5.49208	5.45222	5.3166	5.06294	4.72231	4.71317	5.54638	5.55173	5.16334	5.0445	4.99317	4.9575	4.84704
1110059G10Rik;mKIAA1143	2.41959	2.07059	2.00518	2.13574	2.23455	2.18308	2.12203	2.43235	1.60624	2.24997	2.32696	2.14226	2.30442	2.10857
1810013D10Rik	4.12388	3.6211	3.54111	3.77396	3.94211	4.05423	4.14595	4.21477	4.08874	3.59679	3.334	3.54969	4.17087	4.24749
1810029B16Rik	5.14519	5.51258	5.91409	6.02541	6.22496	6.58262	6.75511	5.11793	5.6202	5.7499	6.00496	6.2646	6.6222	6.78016
2010106G01Rik	4.74043	4.75878	4.89906	5.08691	5.3629	5.53363	5.47869	4.65488	4.66441	4.88691	5.16809	5.3971	5.53598	5.55302
2310014H01Rik	5.23303	5.06899	4.98839	4.75818	4.76565	4.89226	4.84532	5.08922	5.09783	4.95364	4.79934	4.79805	4.89719	4.91654
2310022A10Rik	4.31058	4.70228	4.10895	3.91433	3.84073	3.82348	3.94129	4.15046	4.35576	4.0387	3.76399	3.85016	4.2058	4.27676
2310045N01Rik	3.66157	3.53579	3.3876	3.43538	3.15584	2.944	3.10466	3.51268	3.3662	3.55448	3.52761	3.25459	2.90458	3.10471
2310047M10Rik	4.43368	4.362	4.06525	3.87675	3.83098	3.86879	4.13545	4.38176	4.3328	4.07551	3.74316	3.80035	4.14293	4.09638
2400003C14Rik	4.56032	4.78279	4.91277	4.92974	5.02366	4.99127	4.93951	4.72214	4.5473	4.81694	4.96967	5.00104	5.09272	4.99023
2410001C21Rik	5.1427	5.10379	4.9974	4.98439	4.93987	4.90871	5.04692	5.2282	5.18549	4.94392	4.76183	4.84982	5.08721	5.06728
2500003M10Rik;Fop	4.84837	4.82829	4.75168	4.79663	4.89113	4.79278	4.70941	4.86461	4.83199	4.89487	4.79251	4.78275	4.77921	4.67236
2610029G23Rik	4.40887	4.42792	4.35219	4.15752	3.91769	3.77064	3.82981	4.48112	4.64392	4.27708	4.00003	3.72054	3.8086	3.93336
2610101N10Rik	5.59773	5.92098	5.9722	5.75576	5.46396	5.21689	5.34035	5.76108	5.8942	5.72419	5.54786	5.31272	5.46129	5.56653
3110003A17Rik	6.07478	6.30704	6.43977	6.46777	6.5233	6.33754	6.07126	6.13949	6.19572	6.4735	6.56669	6.52557	6.27461	6.04589
6330577E15Rik	5.16503	5.2362	5.17588	5.10824	5.10565	4.89825	4.83253	5.17886	5.1872	5.19733	5.08848	4.95283	4.93402	4.98307
9630033F20Rik	3.02956	2.92021	2.86502	2.89823	2.8099	2.74418	2.77584	3.16503	2.81533	2.79199	2.86379	2.83909	2.67807	2.88962
A230051G13Rik	1.22922	1.35497	1.2509	1.11157	0.666186	0.524317	0.877083	1.26037	1.38317	0.962051	0.926404	1.28562	0.757931	0.438707
AI314180;mKIAA0368	4.13122	4.08522	4.08612	4.07999	4.07636	4.30753	4.59886	4.11587	4.11557	4.16873	4.18529	4.05791	4.25934	4.46259
AI607873	4.11354	5.11468	6.04311	6.09286	5.64686	5.20777	5.01478	3.9706	5.18599	5.83942	5.86848	5.61676	5.46154	5.29081
AI837181;Bles03	3.23792	2.81951	3.19433	3.76021	3.78381	3.75519	3.76138	3.10975	2.55337	3.29193	3.83829	3.86884	3.80163	3.84855
AK008288;Ctnna1	4.93629	4.99824	4.95035	4.89387	4.98909	4.86996	4.67184	4.96409	4.91704	5.0226	5.06339	4.96499	4.70227	4.67526
AK011326;Pafah1b2	4.04164	3.96607	3.93083	3.93534	3.96934	3.94582	3.8694	4.09055	4.03078	3.85915	3.92416	4.09786	3.96309	3.69286
AK017779;Marcks	5.75576	6.28677	6.4724	6.4153	6.38466	6.02809	5.71907	5.77886	6.20875	6.37477	6.32208	6.2962	6.18463	5.89676
AK032662;Specc1	2.5063	2.72187	2.58983	2.32492	2.04097	2.19953	2.41052	2.83148	3.11411	2.43808	2.03085	2.01026	2.05436	2.31479
AK049578;Cltc	5.72389	5.83154	5.75707	5.57573	5.49258	5.44696	5.41888	5.70582	5.78184	5.67865	5.51348	5.48648	5.58502	5.49536
AK050838;Arih1	3.96617	3.93805	3.77516	3.64357	3.66949	3.69543	3.70683	3.80846	3.92134	3.85381	3.84623	3.71193	3.56921	3.68373
AK079994;Trappc8	3.58817	3.44057	3.26163	3.24433	3.23878	3.23101	3.16686	3.41141	3.43915	3.45187	3.32357	3.20704	3.26612	3.07218
AK081796;Gns	5.53076	5.39416	5.26007	5.35598	5.57603	5.7898	5.86333	5.51634	5.33096	5.28449	5.43453	5.64468	5.76851	5.79064
AK087295;Pik3ap1	3.81486	3.94859	4.21832	4.35397	4.32772	4.44935	4.44628	3.9025	4.0189	4.11941	4.26413	4.43625	4.50297	4.31495
AK157914;Ppp1cb	4.41709	4.54907	4.75502	4.77997	4.9644	4.9918	4.86255	4.35307	4.58059	4.80311	4.92768	5.08952	4.83101	4.73493
AK171687;Bcl10	4.87286	5.2091	5.17022	4.85291	4.74518	4.57724	4.4483	4.76795	5.16001	5.20153	4.80358	4.67407	4.60349	4.66519
AK188353;Eif4h	5.46426	5.44684	5.40941	5.32846	5.34981	5.36021	5.36501	5.43303	5.5073	5.51073	5.3466	5.33894	5.32921	5.2582
AK211593;Timm50	4.73334	4.58339	4.26654	4.17133	3.93504	3.77474	3.79215	4.59673	4.34485	4.11394	3.92392	3.80742	4.12254	4.34714
Aars	3.71892	3.48481	3.36917	3.31903	3.25456	3.40508	3.66395	3.66941	3.5122	3.37008	3.22991	3.39557	3.51121	3.52714
Abcd1	3.64209	3.37245	2.95234	2.27338	1.93384	2.37015	2.78484	3.29006	3.09232	2.96239	2.53484	2.53059	2.58873	2.33017
Abcf2	3.9697	3.90183	3.62407	3.26136	3.22788	3.46462	3.56891	3.77522	3.81268	3.66898	3.49369	3.52655	3.44246	3.2988
Abi1	4.57797	4.6957	4.76674	4.52482	4.44802	4.44554	4.39734	4.4599	4.77687	4.85093	4.63977	4.56634	4.34919	4.21313
Acads	3.97511	3.88089	3.66958	3.48177	3.34606	3.34405	3.50853	4.06389	4.04385	3.60853	3.21075	3.23669	3.51488	3.52739
Acbd3	4.60871	4.77989	5.0129	4.79996	4.61303	4.56752	4.59076	4.62758	4.81639	4.82458	4.75697	4.58001	4.64989	4.71735
Acin1	5.77133	5.92394	5.8558	5.79247	5.50944	5.2091	5.22252	5.76726	5.97308	5.60669	5.50983	5.4306	5.48445	5.5127
Aco1	4.1092	3.95165	3.72549	3.40362	3.13843	3.2573	3.47365	3.86441	3.94006	3.6218	3.30803	3.36462	3.52288	3.43752
Acot13	4.24616	3.93428	4.04381	3.82404	3.34443	3.53373	3.77371	4.24644	4.12508	4.07474	3.89095	3.47876	3.16657	3.71761
